node_names,edges,0,1,2,3,4,5,6,7
Carcharodus_alceae,0.011111,0.013712097,0.024880847,0.016638808,0.029087344,0.018929377,0.034126587,0.021077769,0.0396927
xx_79,0.010128057,0.012342373,0.027066495,0.015097369,0.03155762,0.01686179,0.036610413,0.019151717,0.041878015
Signeta_flammeata,0.008229,0.013997659,0.027377864,0.0170307,0.030765396,0.018951667,0.036542468,0.02053309,0.042315163
xx_80,0.016130866,0.017519264,0.02204773,0.020182448,0.025138428,0.021886928,0.028806722,0.024075063,0.03312643
xx_81,0.024909515,0.013477077,0.019925436,0.016665159,0.023139013,0.019395338,0.027894927,0.021804115,0.03250714
xx_82,0.023127198,0.017612828,0.024276746,0.019923063,0.02701223,0.021779375,0.030915633,0.024582317,0.034745958
xx_83,0.011518798,0.015234493,0.023998577,0.017899193,0.027845612,0.020109972,0.032620076,0.02234565,0.037185673
xx_84,0.01750436,0.012619999,0.017994748,0.01610089,0.021211676,0.018672831,0.026078211,0.021482648,0.030887788
xx_85,0.024431273,0.011588673,0.017936895,0.015141308,0.021898204,0.018126683,0.026563395,0.02094929,0.03174277
xx_86,0.010507472,0.010658406,0.016920062,0.013987593,0.020674324,0.016548917,0.02654205,0.01890943,0.031963203
Jodis_putata,0.016683,0.009003682,0.011059973,0.012829656,0.016756335,0.015541791,0.023468912,0.018131886,0.030146264
Anania_hortulata,0.009569,0.010009365,0.023570098,0.013549116,0.026568457,0.015619857,0.031445198,0.01760197,0.036453642
Pyrausta_purpuralis,0.016818,0.01411198,0.024216698,0.017477857,0.027771961,0.019216409,0.03317589,0.0218692,0.038431928
Achroia_grisella,0.014485,0.015976321,0.03242634,0.019123299,0.035304707,0.02116595,0.038127337,0.023506215,0.041222498
Galleria_mellonella,0.012783,0.023210058,0.030666057,0.024700528,0.034290694,0.026848473,0.037402593,0.029410554,0.040632352
xx_87,0.009390406,0.007519257,0.020026177,0.010490754,0.023703586,0.013248951,0.029111553,0.016396739,0.03544159
Cressida_cressida,0.017736,0.0065052058,0.019162172,0.01067091,0.02415611,0.014917379,0.029274866,0.019483855,0.034478933
xx_88,0.009106555,0.0059233033,0.011323031,0.009427327,0.017714178,0.012472318,0.024812883,0.015242295,0.032036103
xx_89,0.010964939,0.0066317874,0.006954089,0.011603596,0.013171232,0.015522738,0.02092725,0.019048138,0.028697303
xx_90,0.011933167,0.005051161,0.02763677,0.0075349044,0.032564912,0.009741614,0.037927616,0.0123524945,0.043593835
xx_91,0.014542828,0.008927885,0.02753025,0.0112855565,0.032708276,0.01277189,0.03697838,0.01479394,0.041934058
xx_92,0.013410522,0.005560359,0.030402437,0.008846775,0.034490727,0.012136584,0.03970416,0.015612065,0.04446476
xx_93,0.014075365,0.002256661,0.02923775,0.004278198,0.034899976,0.006581326,0.040538125,0.008813786,0.046405047
xx_94,0.0017533726,0.0040791095,0.021726014,0.0066420464,0.024592886,0.009165305,0.027647316,0.011882455,0.030011958
Melinaea_menophilus,0.020487,0.0045569027,0.022134533,0.0075524654,0.02421938,0.008777559,0.028661646,0.0113475155,0.033103608
xx_95,0.006550284,0.0038461161,0.024906836,0.0069329217,0.029257812,0.009604999,0.034318577,0.012404292,0.039426886
xx_96,0.00785748,0.0037652669,0.02509449,0.006741859,0.02983988,0.009515838,0.035012368,0.0122606335,0.040178962
Elkalyce_argiades,0.018662,0.010072986,0.028424066,0.013254626,0.032032885,0.01695401,0.035850435,0.020354481,0.03983846
xx_97,0.01059439,0.008276435,0.028509801,0.011422584,0.03252816,0.014450931,0.03740654,0.018003019,0.041853987
